Date,Net-kCal
2016-09-25,0,100
2016-09-26,111.63,100
2016-09-27,-489.5,100
2016-09-28,-197.8,100
2016-09-29,284.15,100
2016-09-30,52.01,100
2016-10-01,324.42,100
2016-10-02,-64.65,100
2016-10-03,-303.64,100
2016-10-04,-225.43,100
2016-10-05,-320.3,100
2016-10-06,-200.99,100
2016-10-07,-188.71,100
2016-10-08,78.49,100
2016-10-09,-249.73,100
2016-10-10,-106.19,100
2016-10-11,21.82,100
2016-10-12,-190.93,100
2016-10-13,102.44,100
2016-10-14,-30.45,100
2016-10-15,-183.13,100
2016-10-16,393.98,100
2016-10-17,-289.97,100
2016-10-18,-310.4,100
2016-10-19,-239.43,100
2016-10-20,-250.75,100
2016-10-21,96.33,100
2016-10-22,-186.62,100
2016-10-23,-148.91,100
2016-10-24,-546.02,100
2016-10-25,-456.6,100
2016-10-26,-374.97,100
2016-10-27,-229.97,100
2016-10-28,-49.93,100
2016-10-29,238.34,100
2016-10-30,327.37,100
2016-10-31,32.38,100
2016-11-01,-539.91,100
2016-11-02,-293.85,100
2016-11-03,-196.49,100
2016-11-04,-267.46,100
2016-11-05,-123,100
2016-11-06,-111.57,100
2016-11-07,203.58,100
2016-11-08,-329.42,100
2016-11-09,1.6,100
2016-11-10,-291.09,100
2016-11-11,-230.17,100
2016-11-12,-201.37,100
2016-11-13,386.38,100
2016-11-14,-506.71,100
2016-11-15,-294.56,100
2016-11-16,-456.94,100
2016-11-17,111.49,100
2016-11-18,-228.57,100
2016-11-19,74.46,100
2016-11-20,50.89,100
2016-11-21,-241.5,100
2016-11-22,-684.8,100
2016-11-23,-433.22,100
2016-11-24,-117.07,100
2016-11-25,-340.02,100
2016-11-26,-478.15,100
2016-11-27,-153.21,100
2016-11-28,-312.72,100
2016-11-29,-297.67,100
2016-11-30,-78.89,100
2016-12-01,-440.37,100
2016-12-02,-132.79,100
2016-12-03,-94.81,100
2016-12-04,201.99,100
2016-12-05,-311.52,100
2016-12-06,-187.41,100
2016-12-07,-361.62,100
2016-12-08,-250.56,100
2016-12-09,-233.89,100
2016-12-10,61.34,100
2016-12-11,-390.58,100
2016-12-12,-363.54,100
2016-12-13,-389.37,100
2016-12-14,-361.56,100
2016-12-15,-412.56,100
2016-12-16,-324.28,100
2016-12-17,-270.25,100
2016-12-18,-271.63,100
2016-12-19,-314.44,100
2016-12-20,-319.39,100
2016-12-21,-394.45,100
2016-12-22,-356.77,100
2016-12-23,612.98,100
2016-12-24,403.64,100
2016-12-25,-273.65,100
2016-12-26,-43.37,100
2016-12-27,-240.37,100
2016-12-28,-141.07,100
2016-12-29,-345.45,100
2016-12-30,12.1,100
2016-12-31,-379.26,100
2017-01-01,-336.18,100
2017-01-02,-213.93,100
2017-01-03,-385.35,100
2017-01-04,-283.88,100
2017-01-05,11.18,100
2017-01-06,211.37,100
2017-01-07,-359.27,100
2017-01-08,171.66,100
2017-01-09,-359.86,100
2017-01-10,-262.46,100
2017-01-11,-79.75,100
2017-01-12,-175.04,100
2017-01-13,-312.89,100
2017-01-14,112.85,100
2017-01-15,340.71,100
2017-01-16,-28.13,100
2017-01-17,-137.67,100
2017-01-18,-138.04,100
2017-01-19,-469.66,100
2017-01-20,237.45,100
2017-01-21,275.62,100
2017-01-22,-76.89,100
2017-01-23,-122.78,100
2017-01-24,63.76,100
2017-01-25,75.49,100
2017-01-26,-179.39,100
2017-01-27,-68.49,100
2017-01-28,138.19,100
2017-01-29,613.1,100
2017-01-30,-80.27,100
2017-01-31,-223.61,100
2017-02-01,-207.07,100
2017-02-02,-425.32,100
2017-02-03,-402.48,100
2017-02-04,433.67,100
2017-02-05,-184.71,100
2017-02-06,162.71,100
2017-02-07,-498.06,100
2017-02-08,347.14,100
2017-02-09,-312.78,100
2017-02-10,-155.66,100
2017-02-11,-20.6,100
2017-02-12,0,100
